FILE: acculturation.XPT
------------------------------------------------------------
SHAPE: (11372, 5)
COLUMNS: ['SEQN', 'ACD010A', 'ACD010B', 'ACD010C', 'ACD040']
SEQN present: YES

Missing %:
SEQN        0.00
ACD010A    24.38
ACD010B    99.77
ACD010C    93.94
ACD040     79.56

Full DataFrame Preview:
           SEQN  ACD010A  ACD010B  ACD010C  ACD040
249    130638.0      1.0      NaN      NaN     NaN
250    130639.0      1.0      8.0      NaN     NaN
251    130640.0      1.0      NaN      NaN     NaN
252    130642.0      NaN      NaN      9.0     NaN
253    130643.0      1.0      NaN      NaN     NaN
254    130644.0      NaN      NaN      NaN     3.0
255    130645.0      NaN      NaN      NaN     5.0
256    130646.0      1.0      NaN      NaN     NaN
257    130647.0      1.0      NaN      NaN     NaN
258    130648.0      1.0      NaN      NaN     NaN
259    130649.0      NaN      NaN      9.0     NaN
260    130651.0      1.0      NaN      NaN     NaN
261    130652.0      1.0      NaN      NaN     NaN
262    130653.0      1.0      NaN      NaN     NaN
263    130654.0      NaN      NaN      NaN     3.0
264    130655.0      1.0      NaN      NaN     NaN
265    130656.0      NaN      NaN      NaN     1.0
266    130657.0      1.0      NaN      NaN     NaN
267    130658.0      NaN      NaN      NaN     2.0
268    130659.0      1.0      NaN      NaN     NaN
269    130660.0      1.0      NaN      NaN     NaN
270    130661.0      NaN      NaN      NaN     4.0
271    130662.0      1.0      NaN      NaN     NaN
272    130663.0      NaN      NaN      NaN     3.0
273    130664.0      1.0      NaN      NaN     NaN
274    130665.0      NaN      NaN      NaN     4.0
275    130666.0      1.0      NaN      NaN     NaN
276    130667.0      1.0      NaN      NaN     NaN
277    130668.0      1.0      NaN      NaN     NaN
278    130669.0      1.0      NaN      NaN     NaN
279    130670.0      1.0      NaN      NaN     NaN
280    130671.0      1.0      NaN      NaN     NaN
281    130672.0      1.0      NaN      NaN     NaN
282    130673.0      NaN      NaN      9.0     NaN
283    130674.0      1.0      NaN      NaN     NaN
284    130675.0      NaN      NaN      NaN     5.0
285    130676.0      NaN      NaN      NaN     5.0
286    130677.0      1.0      NaN      NaN     NaN
287    130678.0      1.0      NaN      NaN     NaN
288    130679.0      1.0      NaN      NaN     NaN
289    130680.0      1.0      NaN      NaN     NaN
290    130681.0      1.0      NaN      NaN     NaN
291    130682.0      1.0      NaN      NaN     NaN
292    130683.0      1.0      NaN      NaN     NaN
293    130684.0      1.0      NaN      NaN     NaN
294    130685.0      NaN      NaN      NaN     1.0
295    130686.0      1.0      NaN      NaN     NaN
296    130687.0      1.0      NaN      NaN     NaN
297    130688.0      1.0      NaN      NaN     NaN
298    130689.0      1.0      NaN      NaN     NaN
299    130690.0      NaN      NaN      NaN     1.0
300    130691.0      1.0      NaN      NaN     NaN
301    130692.0      1.0      NaN      NaN     NaN
302    130693.0      NaN      NaN      NaN     5.0
303    130694.0      1.0      NaN      NaN     NaN
304    130695.0      1.0      NaN      NaN     NaN
305    130697.0      1.0      NaN      NaN     NaN
306    130698.0      1.0      NaN      NaN     NaN
307    130699.0      1.0      NaN      NaN     NaN
308    130700.0      1.0      NaN      NaN     NaN
309    130701.0      1.0      NaN      NaN     NaN
310    130702.0      1.0      NaN      NaN     NaN
311    130703.0      1.0      NaN      NaN     NaN
312    130704.0      1.0      NaN      NaN     NaN
