FILE: occupation.XPT
------------------------------------------------------------
SHAPE: (8501, 6)
COLUMNS: ['SEQN', 'OCD150', 'OCQ180', 'OCQ210', 'OCQ215', 'OCQ383']
SEQN present: YES

Missing %:
SEQN       0.00
OCD150     0.19
OCQ180    50.04
OCQ210    83.05
OCQ215    46.96
OCQ383    57.49

Full DataFrame Preview:
          SEQN  OCD150   OCQ180  OCQ210  OCQ215  OCQ383
333   130847.0     4.0      NaN     NaN     NaN     3.0
334   130848.0     2.0      NaN     1.0     7.0     NaN
335   130854.0     4.0      NaN     NaN     NaN     3.0
336   130856.0     4.0      NaN     NaN     NaN     3.0
337   130860.0     1.0     50.0     NaN     5.0     NaN
338   130861.0     4.0      NaN     NaN     NaN     3.0
339   130863.0     4.0      NaN     NaN     NaN     3.0
340   130864.0     4.0      NaN     NaN     NaN     4.0
341   130865.0     4.0      NaN     NaN     NaN     3.0
342   130867.0     1.0     40.0     NaN     5.0     NaN
343   130868.0     1.0     40.0     NaN     5.0     NaN
344   130870.0     1.0     16.0     1.0     4.0     NaN
345   130871.0     4.0      NaN     NaN     NaN     3.0
346   130872.0     1.0     39.0     NaN     5.0     NaN
347   130874.0     4.0      NaN     NaN     NaN     1.0
348   130875.0     4.0      NaN     NaN     NaN     3.0
349   130878.0     1.0     40.0     NaN     5.0     NaN
350   130879.0     4.0      NaN     NaN     NaN     1.0
351   130880.0     4.0      NaN     NaN     NaN     3.0
352   130881.0     1.0     40.0     NaN     5.0     NaN
353   130882.0     1.0     40.0     NaN     5.0     NaN
354   130883.0     1.0     58.0     NaN     5.0     NaN
355   130884.0     1.0     40.0     NaN     5.0     NaN
356   130885.0     1.0     60.0     NaN     5.0     NaN
357   130889.0     3.0      NaN     NaN     NaN     NaN
358   130890.0     1.0     70.0     NaN     7.0     NaN
359   130892.0     4.0      NaN     NaN     NaN     3.0
360   130893.0     1.0     40.0     NaN     5.0     NaN
361   130895.0     1.0     40.0     NaN     6.0     NaN
362   130897.0     1.0     25.0     2.0     2.0     NaN
363   130899.0     1.0     37.0     NaN     5.0     NaN
364   130900.0     2.0      NaN     2.0     3.0     NaN
365   130901.0     4.0      NaN     NaN     NaN     3.0
366   130904.0     1.0     40.0     NaN     5.0     NaN
367   130907.0     4.0      NaN     NaN     NaN     3.0
368   130908.0     4.0      NaN     NaN     NaN     4.0
369   130909.0     1.0     56.0     NaN     6.0     NaN
370   130910.0     1.0     50.0     NaN     6.0     NaN
371   130911.0     1.0      9.0     2.0     2.0     NaN
372   130912.0     4.0      NaN     NaN     NaN     7.0
373   130913.0     1.0     48.0     NaN     4.0     NaN
374   130914.0     1.0     40.0     NaN     5.0     NaN
375   130915.0     2.0      NaN     1.0     6.0     NaN
376   130917.0     4.0      NaN     NaN     NaN     3.0
377   130918.0     1.0     40.0     NaN     5.0     NaN
378   130920.0     2.0      NaN     1.0     5.0     NaN
379   130921.0     4.0      NaN     NaN     NaN     4.0
380   130922.0     1.0     40.0     NaN     5.0     NaN
381   130923.0     4.0      NaN     NaN     NaN     3.0
