participant_id,Days_Physically_Active_60min,Hours_TV_Videos_Per_Day,participant_id_outlier,Days_Physically_Active_60min_outlier,Hours_TV_Videos_Per_Day_outlier
131612.0,,1.0,False,False,False
131621.0,1.0,5.0,False,False,False
131623.0,3.0,2.0,False,False,False
131624.0,5.0,5.0,False,False,False
131633.0,,,False,False,False
131634.0,,2.0,False,False,False
131636.0,2.0,2.0,False,False,False
131644.0,3.0,3.0,False,False,False
131652.0,,5.0,False,False,False
131660.0,,1.0,False,False,False
131661.0,5.0,4.0,False,False,False
131665.0,,2.0,False,False,False
131667.0,5.0,2.0,False,False,False
131673.0,6.0,1.0,False,False,False
131678.0,,6.0,False,False,False
131682.0,,,False,False,False
131686.0,4.0,5.0,False,False,False
131688.0,5.0,1.0,False,False,False
131693.0,5.0,,False,False,False
131702.0,4.0,3.0,False,False,False
131705.0,,1.0,False,False,False
131719.0,5.397605346934028e-79,1.0,False,False,False
131722.0,,6.0,False,False,False
131736.0,,5.397605346934028e-79,False,False,False
131737.0,,1.0,False,False,False
131749.0,,2.0,False,False,False
131750.0,,1.0,False,False,False
131751.0,,1.0,False,False,False
131757.0,1.0,,False,False,False
131758.0,5.397605346934028e-79,1.0,False,False,False
131761.0,,4.0,False,False,False
131763.0,6.0,3.0,False,False,False
131764.0,3.0,4.0,False,False,False
131766.0,5.0,,False,False,False
131770.0,,2.0,False,False,False
131771.0,5.0,5.397605346934028e-79,False,False,False
131772.0,5.397605346934028e-79,,False,False,False
131774.0,6.0,1.0,False,False,False
131777.0,,2.0,False,False,False
131779.0,,1.0,False,False,False
131781.0,5.397605346934028e-79,3.0,False,False,False
131784.0,,3.0,False,False,False
131793.0,,2.0,False,False,False
131794.0,,1.0,False,False,False
131810.0,,2.0,False,False,False
131815.0,,2.0,False,False,False
131818.0,,,False,False,False
131819.0,5.397605346934028e-79,8.0,False,False,False
131820.0,5.0,2.0,False,False,False
131821.0,,1.0,False,False,False
131825.0,,1.0,False,False,False
131839.0,,4.0,False,False,False
131840.0,2.0,,False,False,False
131843.0,,1.0,False,False,False
131846.0,,2.0,False,False,False
131847.0,5.0,1.0,False,False,False
131857.0,,1.0,False,False,False
131858.0,,2.0,False,False,False
131859.0,6.0,2.0,False,False,False
131861.0,,1.0,False,False,False
131865.0,5.0,5.397605346934028e-79,False,False,False
131866.0,4.0,2.0,False,False,False
131873.0,,5.0,False,False,False
131878.0,2.0,2.0,False,False,False
131881.0,5.0,2.0,False,False,False
131882.0,,2.0,False,False,False
131885.0,5.0,4.0,False,False,False
131886.0,4.0,1.0,False,False,False
131893.0,3.0,4.0,False,False,False
131895.0,,5.397605346934028e-79,False,False,False
131896.0,,2.0,False,False,False
131900.0,,3.0,False,False,False
131908.0,4.0,5.0,False,False,False
131910.0,2.0,5.0,False,False,False
131914.0,1.0,5.0,False,False,False
131918.0,5.397605346934028e-79,2.0,False,False,False
131919.0,,1.0,False,False,False
131920.0,,1.0,False,False,False
131925.0,5.0,3.0,False,False,False
131927.0,,3.0,False,False,False
131933.0,,8.0,False,False,False
131935.0,4.0,2.0,False,False,False
131941.0,6.0,2.0,False,False,False
131949.0,5.0,4.0,False,False,False
131952.0,3.0,2.0,False,False,False
131957.0,,4.0,False,False,False
131960.0,2.0,2.0,False,False,False
131963.0,1.0,2.0,False,False,False
131964.0,5.397605346934028e-79,5.397605346934028e-79,False,False,False
131977.0,3.0,,False,False,False
131978.0,5.0,1.0,False,False,False
131980.0,,5.0,False,False,False
131982.0,,5.0,False,False,False
131983.0,,1.0,False,False,False
131986.0,,2.0,False,False,False
131989.0,5.0,1.0,False,False,False
131993.0,5.0,4.0,False,False,False
131994.0,,1.0,False,False,False
131995.0,5.0,3.0,False,False,False
131996.0,,1.0,False,False,False
132002.0,,2.0,False,False,False
132004.0,,2.0,False,False,False
132005.0,6.0,2.0,False,False,False
132006.0,2.0,5.0,False,False,False
132012.0,5.397605346934028e-79,2.0,False,False,False
132013.0,,1.0,False,False,False
132015.0,,4.0,False,False,False
132016.0,2.0,4.0,False,False,False
132020.0,5.0,2.0,False,False,False
132022.0,3.0,3.0,False,False,False
132027.0,5.0,3.0,False,False,False
132034.0,,1.0,False,False,False
132039.0,4.0,3.0,False,False,False
132042.0,,2.0,False,False,False
132047.0,,3.0,False,False,False
132048.0,3.0,6.0,False,False,False
132051.0,4.0,8.0,False,False,False
132052.0,6.0,3.0,False,False,False
132057.0,6.0,1.0,False,False,False
132066.0,5.0,5.397605346934028e-79,False,False,False
132068.0,,4.0,False,False,False
132069.0,5.0,5.0,False,False,False
132070.0,,3.0,False,False,False
132078.0,4.0,1.0,False,False,False
132082.0,4.0,,False,False,False
132083.0,5.0,3.0,False,False,False
132084.0,5.0,1.0,False,False,False
132086.0,,2.0,False,False,False
132094.0,1.0,1.0,False,False,False
132100.0,2.0,,False,False,False
132103.0,,1.0,False,False,False
132104.0,,,False,False,False
132106.0,,,False,False,False
132108.0,5.0,1.0,False,False,False
132115.0,,2.0,False,False,False
132128.0,,4.0,False,False,False
132129.0,,4.0,False,False,False
132131.0,,1.0,False,False,False
132133.0,6.0,5.397605346934028e-79,False,False,False
132139.0,5.397605346934028e-79,1.0,False,False,False
132142.0,5.0,1.0,False,False,False
132146.0,5.397605346934028e-79,4.0,False,False,False
132156.0,4.0,8.0,False,False,False
132157.0,,6.0,False,False,False
132160.0,5.0,5.0,False,False,False
132161.0,,2.0,False,False,False
132163.0,3.0,1.0,False,False,False
132164.0,4.0,4.0,False,False,False
132166.0,,,False,False,False
132175.0,,2.0,False,False,False
132179.0,2.0,,False,False,False
132183.0,5.0,3.0,False,False,False
132184.0,5.0,2.0,False,False,False
132187.0,5.0,3.0,False,False,False
132191.0,6.0,2.0,False,False,False
132192.0,3.0,5.0,False,False,False
132193.0,4.0,5.0,False,False,False
132195.0,6.0,,False,False,False
132199.0,5.0,4.0,False,False,False
132200.0,5.397605346934028e-79,5.0,False,False,False
132205.0,5.0,2.0,False,False,False
132208.0,5.0,2.0,False,False,False
132210.0,,2.0,False,False,False
132216.0,6.0,2.0,False,False,False
132227.0,,5.0,False,False,False
132228.0,2.0,2.0,False,False,False
132230.0,,6.0,False,False,False
132234.0,5.0,4.0,False,False,False
132238.0,,1.0,False,False,False
132242.0,5.397605346934028e-79,1.0,False,False,False
132244.0,,1.0,False,False,False
132246.0,1.0,5.0,False,False,False
132247.0,6.0,3.0,False,False,False
132249.0,,,False,False,False
132253.0,3.0,4.0,False,False,False
132254.0,5.0,5.397605346934028e-79,False,False,False
132255.0,,6.0,False,False,False
132257.0,,1.0,False,False,False
132263.0,4.0,2.0,False,False,False
132266.0,,1.0,False,False,False
132268.0,2.0,4.0,False,False,False
132270.0,,5.0,False,False,False
132279.0,4.0,4.0,False,False,False
132290.0,,1.0,False,False,False
132299.0,,3.0,False,False,False
132306.0,3.0,2.0,False,False,False
132307.0,5.0,5.0,False,False,False
132308.0,4.0,1.0,False,False,False
132313.0,,2.0,False,False,False
