participant_id,Type_Work_Last_Week,Hours_Worked_Last_Week,Days_Worked_Per_Week,Reason_Not_Worked_Last_Week,participant_id_outlier,Type_Work_Last_Week_outlier,Hours_Worked_Last_Week_outlier,Days_Worked_Per_Week_outlier,Reason_Not_Worked_Last_Week_outlier
130874.0,4.0,,,1.0,False,False,False,False,True
130875.0,4.0,,,3.0,False,False,False,False,False
130878.0,1.0,40.0,5.0,,False,False,False,False,False
130879.0,4.0,,,1.0,False,False,False,False,True
130880.0,4.0,,,3.0,False,False,False,False,False
130881.0,1.0,40.0,5.0,,False,False,False,False,False
130882.0,1.0,40.0,5.0,,False,False,False,False,False
130883.0,1.0,58.0,5.0,,False,False,False,False,False
130884.0,1.0,40.0,5.0,,False,False,False,False,False
130885.0,1.0,60.0,5.0,,False,False,False,False,False
130889.0,3.0,,,,False,False,False,False,False
130890.0,1.0,70.0,,,False,False,True,False,False
130892.0,4.0,,,3.0,False,False,False,False,False
130893.0,1.0,40.0,5.0,,False,False,False,False,False
130895.0,1.0,40.0,6.0,,False,False,False,True,False
130897.0,1.0,25.0,2.0,,False,False,False,True,False
130899.0,1.0,37.0,5.0,,False,False,False,False,False
130900.0,2.0,,3.0,,False,False,False,True,False
130901.0,4.0,,,3.0,False,False,False,False,False
130904.0,1.0,40.0,5.0,,False,False,False,False,False
130907.0,4.0,,,3.0,False,False,False,False,False
130908.0,4.0,,,4.0,False,False,False,False,True
130909.0,1.0,56.0,6.0,,False,False,False,True,False
130910.0,1.0,50.0,6.0,,False,False,False,True,False
130911.0,1.0,,2.0,,False,False,False,True,False
130912.0,4.0,,,,False,False,False,False,False
130913.0,1.0,48.0,4.0,,False,False,False,True,False
130914.0,1.0,40.0,5.0,,False,False,False,False,False
130915.0,2.0,,6.0,,False,False,False,True,False
130917.0,4.0,,,3.0,False,False,False,False,False
130918.0,1.0,40.0,5.0,,False,False,False,False,False
130920.0,2.0,,5.0,,False,False,False,False,False
130921.0,4.0,,,4.0,False,False,False,False,True
130922.0,1.0,40.0,5.0,,False,False,False,False,False
130923.0,4.0,,,3.0,False,False,False,False,False
130924.0,4.0,,,1.0,False,False,False,False,True
130926.0,1.0,30.0,4.0,,False,False,False,True,False
130930.0,1.0,40.0,5.0,,False,False,False,False,False
130931.0,1.0,55.0,5.0,,False,False,False,False,False
130932.0,3.0,,,,False,False,False,False,False
130933.0,3.0,,,,False,False,False,False,False
130934.0,1.0,80.0,5.0,,False,False,True,False,False
130935.0,1.0,50.0,5.0,,False,False,False,False,False
130936.0,2.0,,5.0,,False,False,False,False,False
130938.0,4.0,,,3.0,False,False,False,False,False
130939.0,1.0,40.0,5.0,,False,False,False,False,False
130940.0,1.0,40.0,5.0,,False,False,False,False,False
